topic,word,weight
Тема 1,отношение,17.681844169720797
Тема 1,сотрудникам,16.164496575261218
Тема 1,не,7.096100126433718
Тема 1,руководства,5.3079884253646465
Тема 1,со,4.9294836177692485
Тема 1,труда,4.710399359897751
Тема 1,гпх,4.243319377141212
Тема 1,стороны,3.9944895496740136
Тема 1,роста,3.4534429757148533
Тема 1,день,3.2550924756477313
Тема 2,без,17.728716604035036
Тема 2,не,15.804881694790392
Тема 2,от,13.15529265082156
Тема 2,лица,12.246045876157526
Тема 2,этот,12.246045876154023
Тема 2,ответа,12.246045876143704
Тема 2,за,7.584043317270905
Тема 2,труда,6.464261149334657
Тема 2,низкая,6.245378527049334
Тема 2,штрафы,5.42046137018097
Тема 3,не,30.156697267341773
Тема 3,за,11.92132209681789
Тема 3,штрафы,8.020487675925736
Тема 3,зп,5.279834372744486
Тема 3,убрать,5.249737125300843
Тема 3,только,5.2112387472799515
Тема 3,более,5.135268689095282
Тема 3,обучения,4.249331500993641
Тема 3,людям,4.2445343466466205
Тема 3,быть,4.22968256295535
Тема 4,не,22.942320911433903
Тема 4,за,18.243903270830256
Тема 4,из,9.761190873808388
Тема 4,могут,9.186191568994118
Тема 4,даже,7.626238600562154
Тема 4,процессы,5.249154115212155
Тема 4,уровень,4.281130007690377
Тема 4,но,4.2533013049889785
Тема 4,нет,4.1349414071649795
Тема 4,всегда,4.1247976556492585
