date,department,question,response
2026-05-01,IT,Что сейчас больше всего влияет на ваше настроение на работе?,Много задач и мало времени на восстановление
2026-05-01,Sales,Что можно улучшить в рабочем процессе?,Хотелось бы больше прозрачности по бонусам
2026-05-01,Support,Что вам нравится в работе?,Команда помогает и быстро отвечает
2026-05-01,HR,Что вызывает напряжение?,Не всегда понятны изменения в процессах
2026-05-01,IT,Что можно улучшить?,Меньше срочных задач вечером
2026-05-01,Support,Что вызывает усталость?,Много однотипных обращений и мало перерывов
2026-05-01,Sales,Что вам помогает работать лучше?,Понятные цели и поддержка руководителя
2026-05-01,Product,Что можно улучшить?,Не хватает прозрачности по приоритетам
2026-05-01,Analytics,Что сейчас вызывает стресс?,Срочные задачи приходят без контекста
2026-05-01,HR,Что нравится в работе?,Открытая команда и возможность предлагать идеи
